node1,node2,route_distance,Heuristic distance
Madhepura,Kota,1260,1060
Madhepura,Lakhimpur,702,589
Madhepura,Rajsamand,1507,1260
Madhepura,Raebareli,603,512
Madhepura,Patna,185,140
Madhepura,Sikar,1320,1127
Madhepura,Prayagraj,545,461
Madhepura,Una,1489,1147
Madhepura,Sarangarh,837,609
Madhepura,Madhepura,0,0
Madhepura,Sitamarhi,118,98
Madhepura,Morena,985,837
Madhepura,Sitapur,725,587
Madhepura,Mahoba,783,658
Madhepura,Sagar,998,813
Madhepura,Nawada,216,165
Madhepura,Mirzapur,469,400
Madhepura,Palamu,445,346
Madhepura,Sri Ganganagar,1588,1295
Mahoba,Aligarh,444,339
Mahoba,Araria,911,764
Mahoba,Balaghat,540,386
Mahoba,Belagavi,1488,1186
Mahoba,Bhagalpur,840,714
Mahoba,Bikaner,941,720
Mahoba,Calicut,1995,1612
Mahoba,Chitrakoot,121,99
Mahoba,Daudnagar,534,455
Mahoba,Gaya,605,519
Mahoba,Ghazipur,441,372
Mahoba,Jaipur,609,447
Mahoba,Kota,484,405
Mahoba,Lakhimpur,362,306
Mahoba,Madhepura,783,658
Mahoba,Raebareli,196,171
Mahoba,Prayagraj,236,197
Mahoba,Sarangarh,749,524
Mahoba,Sitamarhi,702,580
Mahoba,Morena,302,231
Mahoba,Sitapur,321,264
Mahoba,Mahoba,0,0
Mahoba,Nawada,663,572
Mahoba,Mirzapur,308,270
Mahoba,Rohtas,494,417
Mahoba,Sri Ganganagar,989,782
Mirzapur,Aligarh,597,541
Mirzapur,Arrah,242,216
Mirzapur,Baghpat,760,676
Mirzapur,Balaghat,614,440
Mirzapur,Belagavi,1576,1327
Mirzapur,Bhagalpur,525,444
Mirzapur,Bhopal,683,562
Mirzapur,Bundi,825,697
Mirzapur,Delhi,761,671
Mirzapur,Faridabad,711,635
Mirzapur,Ghazipur,142,113
Mirzapur,Hanamkonda,1109,848
Mirzapur,Jaipur,806,706
Mirzapur,Jodhpur,1136,965
Mirzapur,Lakhimpur,416,358
Mirzapur,Madhepura,469,400
Mirzapur,Mahoba,308,270
Mirzapur,Raebareli,208,179
Mirzapur,Patna,294,263
Mirzapur,Sikar,918,789
Mirzapur,Prayagraj,89,79
Mirzapur,Sarangarh,563,396
Mirzapur,Morena,573,482
Mirzapur,Sitapur,374,328
Mirzapur,Sagar,515,413
Mirzapur,Nawada,350,301
Mirzapur,Mirzapur,0,0
Mirzapur,Sri Ganganagar,1186,1007
Morena,Agra,82,75
Morena,Aligarh,175,155
Morena,Araria,1113,945
Morena,Arrah,802,675
Morena,Balaghat,714,564
Morena,Bhagalpur,1086,910
Morena,Bhopal,460,363
Morena,Bikaner,622,493
Morena,Bundi,346,262
Morena,Calicut,2152,1702
Morena,Chitrakoot,423,322
Morena,Durgapur,1108,996
Morena,Faridabad,255,222
Morena,Gaya,843,728
Morena,Ghazipur,693,567
Morena,Hanamkonda,1179,953
Morena,Jaipur,290,224
Morena,Jehanabad,844,714
Morena,Jodhpur,633,496
Morena,Kota,331,256
Morena,Lucknow,348,296
Morena,Madhepura,985,837
Morena,Mahoba,302,231
Morena,Mirzapur,573,482
Morena,Rajsamand,560,441
Morena,Una,689,576
Morena,Sarangarh,923,750
Morena,Morena,0,0
Morena,Pakur,1242,1011
Morena,Sagar,342,303
Morena,Nawada,954,778
Morena,Rohtas,735,624
Morena,Palamu,894,682
Nawada,Aligarh,934,815
Nawada,Arrah,155,115
Nawada,Baghpat,1097,939
Nawada,Balaghat,944,645
Nawada,Belagavi,1925,1525
Nawada,Bhopal,1045,846
Nawada,Bundi,1179,999
Nawada,Chitrakoot,550,473
Nawada,Ghazipur,267,212
Nawada,Hanamkonda,1349,982
Nawada,Jaipur,1169,1002
Nawada,Jehanabad,90,66
Nawada,Jodhpur,1500,1266
Nawada,Lucknow,597,509
Nawada,Madhepura,216,165
Nawada,Mahoba,663,572
Nawada,Mirzapur,350,301
Nawada,Morena,954,778
Nawada,Rajsamand,1389,1177
Nawada,Raebareli,565,456
Nawada,Patna,105,88
Nawada,Sikar,1282,1081
Nawada,Una,1451,1165
Nawada,Sarangarh,625,444
Nawada,Sitamarhi,224,188
Nawada,Sitapur,687,569
Nawada,Sagar,879,700
Nawada,Nawada,0,0
Nawada,Rohtas,177,155
Nawada,Palamu,275,186
Nawada,Sri Ganganagar,1551,1279
Pakur,Agra,1218,1025
Pakur,Araria,236,170
Pakur,Arrah,432,336
Pakur,Baghpat,1384,1158
Pakur,Balaghat,1161,844
Pakur,Belagavi,2137,1698
Pakur,Bhagalpur,151,110
Pakur,Bikaner,1743,1498
Pakur,Bundi,1496,1234
Pakur,Calicut,2430,1953
Pakur,Chitrakoot,867,708
Pakur,Daudnagar,447,351
Pakur,Delhi,1385,1160
Pakur,Durgapur,168,134
Pakur,Faridabad,1335,1129
Pakur,Ghazipur,554,443
Pakur,Hanamkonda,1579,1130
Pakur,Jodhpur,1787,1501
Pakur,Kota,1463,1211
Pakur,Lakhimpur,1007,795
Pakur,Lucknow,884,734
Pakur,Morena,1242,1011
Pakur,Patna,382,293
Pakur,Prayagraj,733,612
Pakur,Una,1739,1365
Pakur,Sitamarhi,450,320
Pakur,Pakur,0,0
Pakur,Sagar,1197,929
Pakur,Sri Ganganagar,1838,1500
Palamu,Aligarh,916,751
Palamu,Araria,573,422
Palamu,Arrah,247,198
Palamu,Baghpat,1079,888
Palamu,Balaghat,704,460
Palamu,Belagavi,1711,1338
Palamu,Bhagalpur,454,329
Palamu,Bhopal,890,685
Palamu,Bundi,1084,873
Palamu,Calicut,2169,1647
Palamu,Daudnagar,160,135
Palamu,Durgapur,427,329
Palamu,Faridabad,1030,846
Palamu,Gaya,216,139
Palamu,Ghazipur,296,200
Palamu,Hanamkonda,1107,800
Palamu,Jaipur,1125,902
Palamu,Jehanabad,228,176
Palamu,Jodhpur,1455,1148
Palamu,Lakhimpur,713,563
Palamu,Lucknow,626,460
Palamu,Madhepura,445,346
Palamu,Morena,894,682
Palamu,Nawada,275,186
Palamu,Rajsamand,1292,1044
Palamu,Raebareli,527,390
Palamu,Patna,260,220
Palamu,Sikar,1237,991
Palamu,Prayagraj,405,288
Palamu,Una,1432,1144
Palamu,Sarangarh,427,270
Palamu,Sitamarhi,390,335
Palamu,Sitapur,717,537
Palamu,Sagar,719,546
Palamu,Rohtas,189,136
Palamu,Palamu,0,0
Palamu,Sri Ganganagar,1505,1217
Patna,Araria,313,239
Patna,Belagavi,1869,1545
Patna,Bhopal,990,824
Patna,Bundi,1162,953
Patna,Calicut,2376,1867
Patna,Daudnagar,105,96
Patna,Durgapur,413,318
Patna,Faridabad,955,836
Patna,Ghazipur,174,156
Patna,Hanamkonda,1333,1018
Patna,Jaipur,1077,945
Patna,Jehanabad,52,44
Patna,Jodhpur,1407,1215
Patna,Kota,1129,933
Patna,Lakhimpur,627,505
Patna,Lucknow,504,440
Patna,Madhepura,185,140
Patna,Mirzapur,294,263
Patna,Nawada,105,88
Patna,Pakur,382,293
Patna,Palamu,260,220
Patna,Raebareli,473,395
Patna,Patna,0,0
Patna,Sikar,1190,1020
Patna,Prayagraj,360,331
Patna,Una,1359,1084
Patna,Sarangarh,653,491
Patna,Sitamarhi,131,116
Patna,Sitapur,595,495
Patna,Sagar,824,675
Patna,Rohtas,146,126
Patna,Sri Ganganagar,1458,1207
Prayagraj,Agra,472,429
Prayagraj,Aligarh,501,462
Prayagraj,Araria,673,567
Prayagraj,Baghpat,664,600
Prayagraj,Balaghat,582,435
Prayagraj,Belagavi,1544,1307
Prayagraj,Bhagalpur,591,516
Prayagraj,Bikaner,1042,895
Prayagraj,Bundi,753,623
Prayagraj,Calicut,2051,1694
Prayagraj,Chitrakoot,124,102
Prayagraj,Daudnagar,285,261
Prayagraj,Durgapur,621,593
Prayagraj,Gaya,356,325
Prayagraj,Ghazipur,202,174
Prayagraj,Jaipur,710,627
Prayagraj,Jehanabad,357,316
Prayagraj,Jodhpur,1040,888
Prayagraj,Kota,720,602
Prayagraj,Lucknow,201,180
Prayagraj,Madhepura,545,461
Prayagraj,Mahoba,236,197
Prayagraj,Mirzapur,89,79
Prayagraj,Pakur,733,612
Prayagraj,Palamu,405,288
Prayagraj,Patna,360,331
Prayagraj,Rajsamand,961,803
Prayagraj,Raebareli,123,106
Prayagraj,Sikar,822,710
Prayagraj,Prayagraj,0,0
Prayagraj,Una,1017,862
Prayagraj,Sitapur,289,263
Prayagraj,Sagar,451,361
Prayagraj,Rohtas,247,222
Prayagraj,Sri Ganganagar,1090,928
Raebareli,Agra,401,339
Raebareli,Araria,731,619
Raebareli,Baghpat,567,498
Raebareli,Balaghat,655,501
Raebareli,Bhagalpur,704,584
Raebareli,Bikaner,926,811
Raebareli,Bundi,695,568
Raebareli,Calicut,2124,1754
Raebareli,Daudnagar,435,342
Raebareli,Delhi,568,493
Raebareli,Durgapur,743,681
Raebareli,Faridabad,518,458
Raebareli,Ghazipur,279,243
Raebareli,Hanamkonda,1150,927
Raebareli,Jaipur,639,549
Raebareli,Jehanabad,507,391
Raebareli,Kota,662,552
Raebareli,Lakhimpur,208,195
Raebareli,Lucknow,78,74
Raebareli,Madhepura,603,512
Raebareli,Mahoba,196,171
Raebareli,Mirzapur,208,179
Raebareli,Nawada,565,456
Raebareli,Palamu,527,390
Raebareli,Patna,473,395
Raebareli,Prayagraj,123,106
Raebareli,Raebareli,0,0
Raebareli,Sikar,741,626
Raebareli,Una,922,756
Raebareli,Sarangarh,750,546
Raebareli,Sitamarhi,518,425
Raebareli,Sagar,411,366
Raebareli,Rohtas,368,305
Raebareli,Sri Ganganagar,1009,831
Rajsamand,Araria,1635,1367
Rajsamand,Arrah,1325,1086
Rajsamand,Baghpat,661,542
Rajsamand,Balaghat,999,737
Rajsamand,Belagavi,1269,1022
Rajsamand,Bhagalpur,1608,1319
Rajsamand,Bhopal,573,410
Rajsamand,Bikaner,422,332
Rajsamand,Bundi,231,182
Rajsamand,Calicut,1978,1541
Rajsamand,Chitrakoot,846,704
Rajsamand,Daudnagar,1259,1060
Rajsamand,Delhi,621,514
Rajsamand,Faridabad,607,503
Rajsamand,Gaya,1330,1122
Rajsamand,Ghazipur,1165,977
Rajsamand,Hanamkonda,1366,977
Rajsamand,Jaipur,335,279
Rajsamand,Jehanabad,1331,1119
Rajsamand,Jodhpur,190,155
Rajsamand,Kota,251,200
Rajsamand,Madhepura,1507,1260
Rajsamand,Morena,560,441
Rajsamand,Nawada,1389,1177
Rajsamand,Palamu,1292,1044
Rajsamand,Prayagraj,961,803
Rajsamand,Rajsamand,0,0
Rajsamand,Sarangarh,1279,1015
Rajsamand,Sitamarhi,1424,1176
Rajsamand,Sitapur,899,732
Rajsamand,Sagar,679,510
Rajsamand,Rohtas,1224,1022
Rohtas,Agra,728,644
Rohtas,Aligarh,773,668
Rohtas,Araria,449,364
Rohtas,Arrah,94,84
Rohtas,Balaghat,794,532
Rohtas,Bhagalpur,344,298
Rohtas,Bhopal,876,700
Rohtas,Bundi,1010,843
Rohtas,Chitrakoot,381,318
Rohtas,Daudnagar,46,38
Rohtas,Delhi,937,796
Rohtas,Durgapur,405,375
Rohtas,Gaya,117,103
Rohtas,Hanamkonda,1262,907
Rohtas,Jaipur,966,848
Rohtas,Jehanabad,118,98
Rohtas,Kota,977,822
Rohtas,Lakhimpur,559,453
Rohtas,Lucknow,436,365
Rohtas,Mahoba,494,417
Rohtas,Morena,735,624
Rohtas,Nawada,177,155
Rohtas,Palamu,189,136
Rohtas,Patna,146,126
Rohtas,Prayagraj,247,222
Rohtas,Raebareli,368,305
Rohtas,Rajsamand,1224,1022
Rohtas,Una,1274,1038
Rohtas,Sarangarh,582,397
Rohtas,Sitamarhi,264,224
Rohtas,Sitapur,526,433
Rohtas,Rohtas,0,0
Sagar,Aligarh,514,454
Sagar,Balaghat,353,269
Sagar,Belagavi,1260,989
Sagar,Bhagalpur,1055,848
Sagar,Bhopal,169,149
Sagar,Bikaner,919,714
Sagar,Chitrakoot,336,261
Sagar,Daudnagar,749,589
Sagar,Delhi,639,563
Sagar,Durgapur,1085,875
Sagar,Ghazipur,656,526
Sagar,Hanamkonda,832,651
Sagar,Jaipur,615,451
Sagar,Jehanabad,821,651
Sagar,Jodhpur,817,634
Sagar,Kota,448,328
Sagar,Lakhimpur,577,498
Sagar,Lucknow,444,401
Sagar,Madhepura,998,813
Sagar,Mirzapur,515,413
Sagar,Morena,342,303
Sagar,Nawada,879,700
Sagar,Pakur,1197,929
Sagar,Palamu,719,546
Sagar,Patna,824,675
Sagar,Prayagraj,451,361
Sagar,Raebareli,411,366
Sagar,Rajsamand,679,510
Sagar,Sarangarh,597,510
Sagar,Sitamarhi,917,746
Sagar,Sitapur,535,456
Sagar,Sagar,0,0
Sagar,Sri Ganganagar,1038,827
Sarangarh,Agra,1002,804
Sarangarh,Araria,962,672
Sarangarh,Arrah,639,468
Sarangarh,Baghpat,1265,1005
Sarangarh,Belagavi,1384,1104
Sarangarh,Bhopal,748,611
Sarangarh,Bikaner,1543,1217
Sarangarh,Chitrakoot,686,457
Sarangarh,Durgapur,658,485
Sarangarh,Faridabad,1175,953
Sarangarh,Gaya,566,405
Sarangarh,Ghazipur,689,446
Sarangarh,Hanamkonda,802,541
Sarangarh,Jaipur,1211,946
Sarangarh,Jehanabad,615,446
Sarangarh,Jodhpur,1417,1145
Sarangarh,Kota,1048,839
Sarangarh,Lakhimpur,958,741
Sarangarh,Madhepura,837,609
Sarangarh,Mahoba,749,524
Sarangarh,Mirzapur,563,396
Sarangarh,Morena,923,750
Sarangarh,Nawada,625,444
Sarangarh,Palamu,427,270
Sarangarh,Patna,653,491
Sarangarh,Raebareli,750,546
Sarangarh,Rajsamand,1279,1015
Sarangarh,Rohtas,582,397
Sarangarh,Sagar,597,510
Sarangarh,Sarangarh,0,0
Sarangarh,Sri Ganganagar,1619,1303
Sikar,Aligarh,358,292
Sikar,Baghpat,307,252
Sikar,Belagavi,1576,1303
Sikar,Bhagalpur,1421,1208
Sikar,Bikaner,221,185
Sikar,Calicut,2258,1811
Sikar,Chitrakoot,776,631
Sikar,Daudnagar,1151,967
Sikar,Delhi,273,227
Sikar,Faridabad,290,231
Sikar,Ghazipur,1028,869
Sikar,Jaipur,116,100
Sikar,Jehanabad,1224,1017
Sikar,Jodhpur,315,259
Sikar,Kota,368,275
Sikar,Lakhimpur,668,556
Sikar,Lucknow,683,581
Sikar,Madhepura,1320,1127
Sikar,Mirzapur,918,789
Sikar,Nawada,1282,1081
Sikar,Palamu,1237,991
Sikar,Patna,1190,1020
Sikar,Prayagraj,822,710
Sikar,Raebareli,741,626
Sikar,Sikar,0,0
Sikar,Una,575,441
Sikar,Sitapur,676,546
Sikar,Sri Ganganagar,348,283
Sitamarhi,Agra,887,747
Sitamarhi,Araria,238,201
Sitamarhi,Balaghat,1026,755
Sitamarhi,Belagavi,1988,1647
Sitamarhi,Bhagalpur,302,210
Sitamarhi,Bikaner,1411,1216
Sitamarhi,Bundi,1210,994
Sitamarhi,Calicut,2494,1979
Sitamarhi,Daudnagar,235,204
Sitamarhi,Delhi,1054,861
Sitamarhi,Faridabad,1004,833
Sitamarhi,Gaya,230,205
Sitamarhi,Ghazipur,289,222
Sitamarhi,Jaipur,1125,966
Sitamarhi,Jehanabad,180,160
Sitamarhi,Jodhpur,1456,1244
Sitamarhi,Madhepura,118,98
Sitamarhi,Mahoba,702,580
Sitamarhi,Nawada,224,188
Sitamarhi,Pakur,450,320
Sitamarhi,Palamu,390,335
Sitamarhi,Patna,131,116
Sitamarhi,Raebareli,518,425
Sitamarhi,Rajsamand,1424,1176
Sitamarhi,Rohtas,264,224
Sitamarhi,Sagar,917,746
Sitamarhi,Sri Ganganagar,1506,1197
Sitapur,Agra,326,267
Sitapur,Aligarh,306,258
Sitapur,Araria,853,691
Sitapur,Baghpat,433,371
Sitapur,Balaghat,861,639
Sitapur,Belagavi,1809,1445
Sitapur,Bhagalpur,826,679
Sitapur,Bikaner,827,727
Sitapur,Calicut,2315,1876
Sitapur,Daudnagar,557,465
Sitapur,Delhi,454,373
Sitapur,Durgapur,933,803
Sitapur,Faridabad,419,343
Sitapur,Ghazipur,433,362
Sitapur,Hanamkonda,1341,1065
Sitapur,Jaipur,564,489
Sitapur,Jehanabad,629,502
Sitapur,Jodhpur,895,774
Sitapur,Lakhimpur,46,43
Sitapur,Lucknow,88,83
Sitapur,Madhepura,725,587
Sitapur,Mahoba,321,264
Sitapur,Mirzapur,374,328
Sitapur,Nawada,687,569
Sitapur,Palamu,717,537
Sitapur,Patna,595,495
Sitapur,Prayagraj,289,263
Sitapur,Rajsamand,899,732
Sitapur,Rohtas,526,433
Sitapur,Sagar,535,456
Sitapur,Sikar,676,546
Sitapur,Una,734,607
Sri Ganganagar,Aligarh,588,467
Sri Ganganagar,Araria,1716,1397
Sri Ganganagar,Arrah,1406,1167
Sri Ganganagar,Balaghat,1410,1096
Sri Ganganagar,Bikaner,241,216
Sri Ganganagar,Bundi,676,525
Sri Ganganagar,Daudnagar,1420,1170
Sri Ganganagar,Durgapur,1721,1510
Sri Ganganagar,Faridabad,448,373
Sri Ganganagar,Ghazipur,1297,1068
Sri Ganganagar,Hanamkonda,1843,1438
Sri Ganganagar,Jehanabad,1492,1213
Sri Ganganagar,Lakhimpur,866,706
Sri Ganganagar,Lucknow,951,771
Sri Ganganagar,Madhepura,1588,1295
Sri Ganganagar,Mahoba,989,782
Sri Ganganagar,Mirzapur,1186,1007
Sri Ganganagar,Nawada,1551,1279
Sri Ganganagar,Pakur,1838,1500
Sri Ganganagar,Palamu,1505,1217
Sri Ganganagar,Patna,1458,1207
Sri Ganganagar,Prayagraj,1090,928
Sri Ganganagar,Raebareli,1009,831
Sri Ganganagar,Sagar,1038,827
Sri Ganganagar,Sarangarh,1619,1303
Sri Ganganagar,Sikar,348,283
Sri Ganganagar,Sitamarhi,1506,1197
Sri Ganganagar,Sri Ganganagar,0,0
Una,Agra,610,504
Una,Aligarh,505,433
Una,Araria,1617,1240
Una,Arrah,1307,1050
Una,Baghpat,348,294
Una,Balaghat,1400,1138
Una,Belagavi,2068,1739
Una,Bhagalpur,1590,1255
Una,Bhopal,1156,916
Una,Bikaner,608,477
Una,Calicut,2750,2238
Una,Daudnagar,1321,1069
Una,Delhi,365,316
Una,Durgapur,1648,1400
Una,Faridabad,402,353
Una,Gaya,1392,1131
Una,Ghazipur,1198,967
Una,Hanamkonda,1864,1527
Una,Jaipur,606,507
Una,Jehanabad,1393,1099
Una,Lucknow,818,684
Una,Madhepura,1489,1147
Una,Morena,689,576
Una,Nawada,1451,1165
Una,Pakur,1739,1365
Una,Palamu,1432,1144
Una,Patna,1359,1084
Una,Prayagraj,1017,862
Una,Raebareli,922,756
Una,Rohtas,1274,1038
Una,Sikar,575,441
Una,Sitapur,734,607
Una,Una,0,0
